Stock,Direction,Score,TrendQuality,Smoothness,EMADiscipline,MaxDrawdown,CrossCount,EMA_Slope%,Trend%,BarsAboveEMA,VolRatio,EMA_Efficiency
KPITTECH.NS,SIDEWAYS,-43.74,37.0,52.0,45.0,97.43,4.96,12,-0.78,-0.95,26,1.34
LAURUSLABS.NS,SIDEWAYS,-40.71,15.0,20.0,60.0,99.19,2.49,13,-0.34,-0.22,10,1.26
LICHSGFIN.NS,SIDEWAYS,1.5,87.0,82.0,45.0,98.61,5.0,8,0.53,0.1,41,1.12
LICI.NS,SIDEWAYS,-43.99,15.0,60.0,40.0,99.42,2.95,17,0.04,0.18,30,3.72
LODHA.NS,SIDEWAYS,8.62,89.0,84.0,50.0,97.71,5.75,9,1.02,0.63,42,1.22
LT.NS,SIDEWAYS,-25.56,21.0,46.0,40.0,99.29,1.63,13,-0.25,-0.27,23,1.52
LUPIN.NS,SIDEWAYS,0.83,32.0,42.0,30.0,99.19,1.14,8,-0.36,-0.38,21,2.67
M&M.NS,SIDEWAYS,-27.62,29.0,54.0,30.0,98.57,3.35,11,-0.52,-0.91,27,1.67
MANKIND.NS,BEAR,-37.1,22.0,32.0,30.0,98.85,5.0,8,-0.56,-0.63,16,1.61
MARICO.NS,SIDEWAYS,-7.73,47.0,62.0,35.0,99.29,2.39,10,-0.15,-0.15,31,2.87
MARUTI.NS,SIDEWAYS,-6.69,78.0,48.0,50.0,98.57,5.31,4,-0.34,-0.61,24,1.39
MAXHEALTH.NS,SIDEWAYS,-3.36,63.0,68.0,50.0,99.42,2.54,11,0.1,0.09,34,2.23
MAZDOCK.NS,SIDEWAYS,-25.39,32.0,32.0,50.0,99.13,3.14,10,-0.22,-0.32,16,1.76
MOTHERSON.NS,SIDEWAYS,-20.37,52.0,52.0,50.0,98.75,3.83,10,-0.03,0.1,26,1.69
MPHASIS.NS,SIDEWAYS,-31.01,56.0,56.0,60.0,98.92,4.93,12,0.25,0.33,28,0.83
MUTHOOTFIN.NS,SIDEWAYS,-20.4,47.0,72.0,40.0,99.08,3.88,13,0.28,0.22,36,2.39
NATIONALUM.NS,BEAR,-82.55,-3.0,22.0,10.0,98.36,9.95,7,-0.8,-1.08,11,1.65
NBCC.NS,SIDEWAYS,-50.3,23.0,48.0,40.0,99.38,4.72,13,-0.24,-0.35,24,1.3
NESTLEIND.NS,BEAR,-36.35,22.0,22.0,40.0,99.02,4.35,8,-0.47,-0.52,11,1.11
NHPC.NS,SIDEWAYS,38.0,90.0,70.0,25.0,97.34,1.57,1,-0.65,-1.22,35,0.66
NMDC.NS,SIDEWAYS,-58.97,20.0,50.0,25.0,97.84,6.87,11,-0.67,-0.83,25,1.74
NTPC.NS,SIDEWAYS,-9.56,46.0,36.0,40.0,98.29,3.58,6,-0.84,-0.99,18,1.85
NUVAMA.NS,SIDEWAYS,-10.3,38.0,38.0,35.0,98.02,2.64,7,-0.59,-0.71,19,1.3
NYKAA.NS,SIDEWAYS,-18.6,17.0,32.0,45.0,99.2,1.0,12,-0.24,-0.24,16,2.26
OBEROIRLTY.NS,SIDEWAYS,32.49,94.0,74.0,45.0,98.33,1.33,5,0.01,-0.39,37,1.54
OFSS.NS,SIDEWAYS,113.75,97.0,62.0,65.0,94.16,1.23,6,2.93,3.15,31,0.72
OIL.NS,SIDEWAYS,-21.26,65.0,60.0,55.0,99.04,4.48,10,-0.02,0.16,30,1.33
ONGC.NS,SIDEWAYS,-72.1,-13.0,22.0,25.0,98.67,6.16,12,-0.63,-0.58,11,1.77
PAGEIND.NS,BULL,49.14,118.0,88.0,55.0,98.25,2.97,5,0.68,0.39,44,2.77
PATANJALI.NS,SIDEWAYS,-31.71,43.0,68.0,40.0,99.1,4.79,13,0.12,0.53,34,1.58
PAYTM.NS,SIDEWAYS,-29.88,46.0,56.0,40.0,98.78,4.7,10,-0.39,-0.45,28,1.57
PETRONET.NS,SIDEWAYS,-7.92,34.0,54.0,25.0,98.88,2.16,9,-0.35,-0.69,27,2.99
PERSISTENT.NS,BULL,20.05,115.0,80.0,60.0,97.33,5.09,5,0.45,0.3,40,1.21
PFC.NS,SIDEWAYS,-9.01,55.0,70.0,45.0,99.15,2.14,12,-0.11,-0.23,35,1.94
PHOENIXLTD.NS,BULL,60.38,117.0,82.0,55.0,98.61,1.05,4,0.26,0.62,41,2.6
PIIND.NS,SIDEWAYS,-79.0,-4.0,46.0,35.0,99.63,5.93,17,-0.05,-0.05,23,4.59
PNB.NS,SIDEWAYS,0.57,63.0,68.0,40.0,99.22,2.52,9,-0.2,-0.28,34,1.96
PNBHOUSING.NS,BULL,51.41,97.0,72.0,55.0,97.88,1.03,6,0.88,0.56,36,0.81
POLICYBZR.NS,SIDEWAYS,-8.32,78.0,68.0,45.0,98.62,5.08,7,-0.15,-0.38,34,1.99
POLYCAB.NS,BEAR,-22.95,24.0,24.0,30.0,98.24,4.22,6,-0.83,-0.71,12,2.04
POWERGRID.NS,SIDEWAYS,-17.17,29.0,64.0,25.0,98.95,2.07,12,-0.33,-0.67,32,1.99
POWERINDIA.NS,SIDEWAYS,-78.04,15.0,30.0,30.0,97.21,9.6,9,-1.31,-1.77,15,2.09
PREMIERENE.NS,SIDEWAYS,2.0,55.0,40.0,40.0,98.27,3.1,5,-0.34,-0.28,20,2.58
PRESTIGE.NS,BULL,18.99,94.0,84.0,50.0,98.45,4.28,8,0.68,0.74,42,1.09
RECLTD.NS,SIDEWAYS,8.73,69.0,64.0,40.0,99.03,2.3,7,-0.12,-0.26,32,1.64
RELIANCE.NS,SIDEWAYS,-20.48,33.0,58.0,30.0,99.0,2.42,11,-0.3,-0.46,29,1.2
RBLBANK.NS,SIDEWAYS,-23.23,17.0,62.0,50.0,97.98,1.97,19,0.82,0.54,31,2.13
RVNL.NS,SIDEWAYS,-5.52,83.0,68.0,50.0,99.05,4.72,7,-0.15,-0.41,34,1.67
SAIL.NS,SIDEWAYS,-79.89,29.0,54.0,30.0,98.21,9.73,11,-0.7,-1.35,27,1.42
SAMMAANCAP.NS,SIDEWAYS,-65.38,9.0,34.0,40.0,98.24,6.15,13,-0.45,-0.9,17,2.7
SBICARD.NS,SIDEWAYS,-24.11,42.0,62.0,30.0,98.79,4.25,10,-0.3,-0.05,31,6.26
SBILIFE.NS,SIDEWAYS,12.96,79.0,64.0,50.0,99.08,3.89,7,0.41,0.43,32,1.91
SBIN.NS,SIDEWAYS,16.08,67.0,52.0,40.0,98.75,1.36,5,-0.59,-0.68,26,0.82
